id_themeal,id_foodb,public_id_food
192,483,FOOD00473,Lamb Loin Chops
193,483,FOOD00473,Lamb Mince
194,755,FOOD00730,Lasagne Sheets
195,25,FOOD00025,Lean Minced Beef
196,401,FOOD00396,Leek
197,597,FOOD00583,Lemon
198,788,FOOD00763,Lemon Juice
199,597,FOOD00583,Lemon Zest
200,10,FOOD00010,Lemons
201,920,FOOD00888,Lettuce
202,557,FOOD00543,Lime
203,920,FOOD00888,Little Gem Lettuce
204,784,FOOD00759,Macaroni
205,294,FOOD00293,Mackerel
206,274,FOOD00273,Madras Paste
207,122,FOOD00122,Marjoram
208,700,FOOD00678,Massaman Curry Paste
209,135,FOOD00135,Medjool Dates
210,702,FOOD00680,Meringue Nests
211,893,FOOD00863,Milk
212,880,FOOD00850,Minced Garlic
213,683,FOOD00662,Miniature Marshmallows
214,110,FOOD00110,Mint
215,980,FOOD00948,Monterey Jack Cheese
216,965,FOOD00933,Mozzarella Balls
217,676,FOOD00656,Muscovado Sugar
218,883,FOOD00853,Mushrooms
219,27,FOOD00027,Mustard
220,27,FOOD00027,Mustard Powder
221,27,FOOD00027,Mustard Seeds
222,118,FOOD00118,Nutmeg
223,804,FOOD00779,Oil
224,941,FOOD00909,Olive Oil
226,6,FOOD00006,Onion Salt
227,6,FOOD00006,Onions
228,56,FOOD00056,Orange
229,56,FOOD00056,Orange Zest
230,102,FOOD00102,Oregano
231,361,FOOD00356,Oyster Sauce
232,,,Paprika
233,417,FOOD00411,Parma Ham
234,968,FOOD00936,Parmesan
235,968,FOOD00936,Parmesan Cheese
236,,,Parmigiano-reggiano
237,131,FOOD00131,Parsley
238,706,FOOD00684,Peanut Butter
239,974,FOOD00942,Peanut Oil
240,16,FOOD00016,Peanuts
241,37,FOOD00037,Peas
242,,,Pecorino
243,,,Penne Rigate
244,909,FOOD00877,Pepper
245,138,FOOD00138,Pine Nuts
246,1000,FOOD00968,Pitted Black Olives
247,710,FOOD00688,Plain Chocolate
248,966,FOOD00934,Plain Flour
249,147,FOOD00147,Plum Tomatoes
252,92,FOOD00092,Potato Starch
253,,,Potatoes
254,,,Prawns
255,660,FOOD00641,Puff Pastry
256,162,FOOD00162,Raspberry Jam
257,286,FOOD00285,Raw King Prawns
258,913,FOOD00881,Red Chile Flakes
259,913,FOOD00881,Red Chilli
261,700,FOOD00678,Red Chilli Powder
263,994,FOOD00962,Red Onions
264,913,FOOD00881,Red Pepper
265,913,FOOD00881,Red Pepper Flakes
266,943,FOOD00911,Red Wine
267,730,FOOD00706,Refried Beans
268,235,FOOD00235,Rice
269,235,FOOD00235,Rice Noodles
270,235,FOOD00235,Rice Stick Noodles
271,235,FOOD00235,Rice Vermicelli
272,,,Rigatoni
273,244,FOOD00244,Rocket
274,22,FOOD00022,Rolled Oats
276,63,FOOD00063,Saffron
277,165,FOOD00165,Sage
278,763,FOOD00738,Sake
280,,,Salsa
281,666,FOOD00647,Salt
282,971,FOOD00939,Salted Butter
283,671,FOOD00652,Sausages
284,475,FOOD00465,Sea Salt
286,825,FOOD00799,Self-raising Flour
287,893,FOOD00863,Semi-skimmed Milk
288,313,FOOD00310,Sesame Seed
289,243,FOOD00243,Shallots
290,735,FOOD00711,Shredded Mexican Cheese
291,980,FOOD00948,Shredded Monterey Jack Cheese
292,,,Small Potatoes
293,,,Smoked Paprika
294,,,Smoky Paprika
295,985,FOOD00953,Sour Cream
296,716,FOOD00694,Soy Sauce
297,893,FOOD00863,Soya Milk
298,,,Spaghetti
299,409,FOOD00404,Spinach
301,6,FOOD00006,Spring Onions
302,906,FOOD00874,Squash
303,885,FOOD00855,Stir-fry Vegetables
304,,,Strawberries
305,676,FOOD00656,Sugar
306,,,Sultanas
307,972,FOOD00940,Sunflower Oil
308,180,FOOD00180,Tamarind Ball
309,180,FOOD00180,Tamarind Paste
310,356,FOOD00351,Thai Fish Sauce
311,1011,FOOD00979,Thai Green Curry Paste
312,913,FOOD00881,Thai Red Curry Paste
313,183,FOOD00183,Thyme
315,171,FOOD00171,Tomato Ketchup
316,171,FOOD00171,Tomato Puree
317,,,Tomatoes
318,588,FOOD00574,Toor Dal
319,308,FOOD00305,Tuna
320,68,FOOD00068,Turmeric
321,700,FOOD00678,Turmeric Powder
322,36,FOOD00036,Turnips
323,195,FOOD00195,Vanilla
324,195,FOOD00195,Vanilla Extract
325,431,FOOD00423,Veal
326,706,FOOD00684,Vegan Butter
327,693,FOOD00671,Vegetable Oil
328,693,FOOD00671,Vegetable Stock
329,693,FOOD00671,Vegetable Stock Cube
330,664,FOOD00645,Vinaigrette Dressing
331,249,FOOD00249,Vine Leaves
332,645,FOOD00628,Vinegar
333,337,FOOD00332,Water
334,710,FOOD00688,White Chocolate Chips
335,356,FOOD00351,White Fish
336,356,FOOD00351,White Fish Fillets
337,1019,FOOD00987,White Vinegar
338,949,FOOD00917,White Wine
339,893,FOOD00863,Whole Milk
340,986,FOOD00954,Whole Wheat
341,269,FOOD00269,Wholegrain Bread
342,716,FOOD00694,Worcestershire Sauce
343,792,FOOD00767,Yogurt
344,907,FOOD00875,Zucchini
345,,,Pretzels
346,966,FOOD00934,Cream Cheese
347,724,FOOD00700,Icing Sugar
348,891,FOOD00861,Toffee Popcorn
349,,,Caramel
350,716,FOOD00694,Caramel Sauce
351,,,Tagliatelle
352,,,Fettuccine
353,641,FOOD00624,Clotted Cream
354,976,FOOD00944,Corn Flour
355,307,FOOD00304,Mussels
356,,,Fideo
357,414,FOOD00409,Monkfish
358,818,FOOD00793,Vermicelli Pasta
359,690,FOOD00668,Baby Squid
360,545,FOOD00532,Squid
361,356,FOOD00351,Fish Stock
362,,,Pilchards
363,1000,FOOD00968,Black Olives
364,6,FOOD00006,Onion
365,171,FOOD00171,Tomato
366,358,FOOD00353,Duck
367,358,FOOD00353,Duck Legs
368,334,FOOD00329,Chicken Stock Cube
369,818,FOOD00793,Pappardelle Pasta
370,818,FOOD00793,Paccheri Pasta
371,818,FOOD00793,Linguine Pasta
373,676,FOOD00656,Sugar Snap Peas
374,269,FOOD00269,Crusty Bread
375,,,Fromage Frais
376,984,FOOD00952,Clams
377,,,Passata
378,945,FOOD00913,Rapeseed Oil
379,735,FOOD00711,Stilton Cheese
380,483,FOOD00473,Lamb Leg
381,483,FOOD00473,Lamb Shoulder
382,144,FOOD00144,Apricot
383,321,FOOD00317,Butternut Squash
384,765,FOOD00740,Couscous
387,25,FOOD00025,Minced Beef
388,505,FOOD00494,Turkey Mince
389,716,FOOD00694,Barbeque Sauce
390,,,Sweetcorn
391,373,FOOD00368,Goose Fat
392,358,FOOD00353,Duck Fat
393,82,FOOD00082,Fennel
394,943,FOOD00911,Red Wine Vinegar
395,730,FOOD00706,Haricot Beans
396,159,FOOD00159,Rosemary
397,706,FOOD00684,Butter Beans
398,730,FOOD00706,Pinto Beans
399,171,FOOD00171,Tomato Sauce
401,,,Mascarpone
402,965,FOOD00933,Mozzarella
403,,,Ricotta
405,711,FOOD00689,Dried Apricots
406,39,FOOD00039,Capers
407,208,FOOD00208,Banana
408,,,Raspberries
409,,,Blueberries
410,93,FOOD00093,Walnuts
