compound_id,public_id,name
328,FDB000328,Cyclolariciresinol
329,FDB000329,7-Oxomatairesinol
330,FDB000330,Todolactol A
331,FDB000331,Conidendrin
332,FDB000332,7-Hydroxysecoisolariciresinol
333,FDB000333,Lariciresinol-sesquilignan
334,FDB000334,Episesaminol
336,FDB000336,4-Vinylsyringol
337,FDB000337,Mellein
338,FDB000338,2-Methoxy-5-prop-1-enylphenol
340,FDB000340,"1,4-Naphtoquinone"
341,FDB000341,"5,5',6,6'-Tetrahydroxy-3,3'-biindolyl"
344,FDB000344,Hydroxytyrosol acetate
345,FDB000345,p-HPEA-AC
346,FDB000346,"3,4-DHPEA-EA"
349,FDB000349,p-HPEA-EDA
350,FDB000350,p-HPEA-EA
351,FDB000351,Oleuropein-aglycone
352,FDB000352,Ligstroside-aglycone
355,FDB000355,5-Pentacosenylresorcinol
356,FDB000356,5-Tricosenylresorcinol
357,FDB000357,3-Methylcatechol
358,FDB000358,4-Ethylphenol
359,FDB000359,3'-Methoxyacetophenone
361,FDB000361,Nuatigenin
362,FDB000362,Estradiol
366,FDB000366,Dioscin
367,FDB000367,Collettiside I
369,FDB000369,Yamogenin
370,FDB000370,Ophiopogonin C'
371,FDB000371,Erythritol
372,FDB000372,Canescein
373,FDB000373,Prenyl acetate
374,FDB000374,Phytic acid
375,FDB000375,Asparagoside B
376,FDB000376,6-Hydroxykaempferol
377,FDB000377,"(3beta,5alpha)-Ergosta-7,23-dien-3-ol"
379,FDB000379,L-Malic acid caffeate
380,FDB000380,1-Methoxyphaseollidin
381,FDB000381,"(3beta,5alpha,6alpha)-Cholest-8-ene-3,6-diol"
396,FDB000396,Mucronine D
397,FDB000397,Nummularine A
398,FDB000398,Oxoglaucine
404,FDB000404,beta1-Tomatidine
405,FDB000405,Blepharin
406,FDB000406,Murrayenol
408,FDB000408,Geranyl apiosyl-glucoside
410,FDB000410,Geranyl rhamnosyl-glucoside
411,FDB000411,Geranyl 3-methylbutanoate
412,FDB000412,Geranyl hexanoate
413,FDB000413,Neryl glucoside
414,FDB000414,Neryl arabinofuranosyl-glucoside
418,FDB000418,Galactosyl 4-hydroxyproline
419,FDB000419,4-Hydroxyproline galactoside
420,FDB000420,N-Phenylacetylaspartic acid
422,FDB000422,Betavulgaroside I
423,FDB000423,5Z-Octenyl acetate
424,FDB000424,"(R)-1,3-Octanediol"
427,FDB000427,"(R)-1-O-b-D-glucopyranosyl-1,3-octanediol"
429,FDB000429,Salsolinol
430,FDB000430,(S)-Salsolinol
432,FDB000432,Moupinamide
435,FDB000435,N-Methyltyramine
